date,value
2011-01-03,688027.5329
2011-01-04,682932.5221
2011-01-05,678865.308
2011-01-06,677963.877
2011-01-07,674246.9444
2011-01-10,669193.191
2011-01-11,663894.1877
2011-01-12,662236.7298
2011-01-13,665538.7876
2011-01-14,665780.4444
2011-01-17,660769.7851
2011-01-18,657363.1705
2011-01-19,654729.5763
2011-01-20,655529.3787
2011-01-21,652768.3649
2011-01-24,648516.8374
2011-01-25,644316.6579
2011-01-26,642222.3572
2011-01-27,646929.0872
2011-01-28,649502.263
2011-01-31,648030.4451
2011-02-01,646148.5568
2011-02-02,645196.6655
2011-02-03,651585.6825
2011-02-04,653413.1107
2011-02-07,653413.1107
2011-02-08,648108.3268
2011-02-09,644275.4323
2011-02-10,646022.2958
2011-02-11,647072.3092
2011-02-14,646761.5386
2011-02-15,643653.4229
2011-02-16,642221.7476
2011-02-17,644083.7141
2011-02-18,642504.7816
2011-02-21,638292.9622
2011-02-22,634569.7868
2011-02-23,632822.2367
2011-02-24,636600.3615
2011-02-25,638938.3017
2011-02-28,638281.5705
2011-03-01,636576.8952
2011-03-02,635290.6134
2011-03-03,637968.3155
2011-03-04,637995.6064
2011-03-07,634542.0078
2011-03-08,630730.6232
2011-03-09,629114.4715
2011-03-10,631503.5737
2011-03-11,633519.6428
2011-03-14,633783.934
2011-03-15,632891.1975
2011-03-16,632516.088
2011-03-17,637803.9973
2011-03-18,640037.4109
2011-03-21,640037.4109
2011-03-22,634618.609
2011-03-23,631056.084
2011-03-24,632167.6267
2011-03-25,631304.4535
2011-03-28,628716.87
2011-03-29,628759.488
2011-03-30,630829.6916
2011-03-31,634711.7721
2011-04-01,636802.5111
2011-04-04,634342.8061
2011-04-05,631790.2642
2011-04-06,629781.4148
2011-04-07,631963.399
2011-04-08,631461.4833
2011-04-11,628935.5925
2011-04-12,627394.5471
2011-04-13,628852.8139
2011-04-14,636689.8409
2011-04-15,641980.7271
2011-04-18,644533.0007
2011-04-19,657586.6344
2011-04-20,663544.7641
2011-04-21,663544.7641
2011-04-22,663544.7641
2011-04-25,653442.4421
2011-04-26,646460.2668
2011-04-27,643869.7988
2011-04-28,646463.2459
2011-04-29,645582.0139
2011-05-02,641788.1633
2011-05-03,638095.3033
2011-05-04,636363.8694
2011-05-05,638199.5806
2011-05-06,636753.0373
2011-05-09,633430.9624
2011-05-10,631374.5596
2011-05-11,631817.1522
2011-05-12,638548.6598
2011-05-13,641433.1466
2011-05-16,639084.4749
2011-05-17,637258.9495
2011-05-18,636030.715
2011-05-19,638382.8797
2011-05-20,637617.1614
2011-05-23,633504.4082
2011-05-24,630217.3053
2011-05-25,629339.3605
2011-05-26,632849.7346
2011-05-27,636807.5802
2011-05-30,638348.2651
2011-05-31,637597.2448
2011-06-01,637317.6657
2011-06-02,640870.942
2011-06-03,642343.9077
2011-06-06,639383.252
2011-06-07,635877.5827
2011-06-08,634586.9476
2011-06-09,636686.7631
2011-06-10,636706.0658
2011-06-13,636319.409
2011-06-14,637304.9669
2011-06-15,637108.1362
2011-06-16,640925.3623
2011-06-17,641794.5312
2011-06-20,638217.4564
2011-06-21,634714.4204
2011-06-22,633391.3631
2011-06-23,634290.6048
2011-06-24,632273.7695
2011-06-27,629287.3776
2011-06-28,628427.7271
2011-06-29,629817.1575
2011-06-30,635323.2558
2011-07-01,638256.3332
2011-07-04,637051.2391
2011-07-05,636115.9392
2011-07-06,635903.9769
2011-07-07,640294.7609
2011-07-08,640996.2928
2011-07-11,638961.5809
2011-07-12,637154.4401
2011-07-13,638611.6243
2011-07-14,644903.163
2011-07-15,647699.7309
2011-07-18,645283.5017
2011-07-19,642163.4975
2011-07-20,640651.4285
2011-07-21,642586.9764
2011-07-22,641171.7902
2011-07-25,637092.6359
2011-07-26,635356.9444
2011-07-27,636158.8224
2011-07-28,643287.9328
2011-07-29,645656.1054
2011-08-01,644621.5229
2011-08-02,642224.4228
2011-08-03,641589.5019
2011-08-04,644619.3999
2011-08-05,644277.6783
2011-08-08,640883.8032
2011-08-09,638402.9132
2011-08-10,637889.6527
2011-08-11,643360.4066
2011-08-12,646509.899
2011-08-15,645940.5591
2011-08-16,643943.3463
2011-08-17,642332.6902
2011-08-18,644534.0923
2011-08-19,643418.7431
2011-08-22,638516.3819
2011-08-23,634937.9251
2011-08-24,633078.6886
2011-08-25,635048.975
2011-08-26,635819.0608
2011-08-29,635588.9582
2011-08-30,635495.5853
2011-08-31,635301.0204
2011-09-01,639377.275
2011-09-02,640240.1118
2011-09-05,637791.3205
2011-09-06,633946.1882
2011-09-07,631951.6516
2011-09-08,633009.4448
2011-09-09,633118.2847
2011-09-12,631741.1713
2011-09-13,633462.8401
2011-09-14,644717.2924
2011-09-15,650364.1565
2011-09-16,650364.1565
2011-09-19,645966.8088
2011-09-20,641202.9042
2011-09-21,637229.6505
2011-09-22,636829.1365
2011-09-23,635853.5135
2011-09-26,632458.9362
2011-09-27,630082.5912
2011-09-28,631890.083
2011-09-29,639440.5063
2011-09-30,643273.7095
2011-10-03,641970.2142
2011-10-04,641029.3786
2011-10-05,639552.904
2011-10-06,643206.4149
2011-10-07,644394.0363
2011-10-10,641901.6733
2011-10-11,639983.0211
2011-10-12,641010.553
2011-10-13,648151.292
2011-10-14,650521.9001
2011-10-17,648389.9828
2011-10-18,644824.5024
2011-10-19,642916.3152
2011-10-20,645203.7667
2011-10-21,644050.6005
2011-10-24,639827.0688
2011-10-25,637202.4639
2011-10-26,637915.9493
2011-10-27,645429.4691
2011-10-28,650544.2299
2011-10-31,651531.4126
2011-11-01,654814.2696
2011-11-02,654814.2696
2011-11-03,659153.9091
2011-11-04,659769.6877
2011-11-07,656399.303
2011-11-08,652931.7873
2011-11-09,651830.3601
2011-11-10,655768.0709
2011-11-11,660156.5346
2011-11-14,662055.7696
2011-11-15,663094.4862
2011-11-16,666401.863
2011-11-17,674788.2234
2011-11-18,679160.3486
2011-11-21,679160.3486
2011-11-22,672137.0128
2011-11-23,667056.9442
2011-11-24,668294.1006
2011-11-25,667991.2779
2011-11-28,668479.9277
2011-11-29,671837.3406
2011-11-30,675504.053
2011-12-01,686453.4544
2011-12-02,691938.0792
2011-12-05,693580.6257
2011-12-06,694943.5719
2011-12-07,698724.5785
2011-12-08,710820.4859
2011-12-09,720374.5687
2011-12-12,720374.5687
2011-12-13,725267.1426
2011-12-14,732752.2985
2011-12-15,745988.1897
2011-12-16,756622.7361
2011-12-19,760284.7863
2011-12-20,762658.7937
2011-12-21,766570.0409
2011-12-22,774649.8954
2011-12-23,775952.0813
2011-12-26,771396.0572
2011-12-27,765792.4404
2011-12-28,763304.6098
2011-12-29,765728.7109
2011-12-30,763490.9403
2012-01-02,759842.5771
2012-01-03,755201.3926
2012-01-04,752652.4588
2012-01-05,752998.7061
2012-01-06,751048.7384
2012-01-09,746797.1779
2012-01-10,742401.6912
2012-01-11,740628.5721
2012-01-12,744047.0918
2012-01-13,744318.4899
2012-01-16,740760.1977
2012-01-17,737532.4717
2012-01-18,734709.9052
2012-01-19,734954.8404
2012-01-20,731988.6202
2012-01-23,726580.2993
2012-01-24,722447.4435
2012-01-25,720246.784
2012-01-26,722866.1206
2012-01-27,724752.7724
2012-01-30,725975.8409
2012-01-31,724693.7742
2012-02-01,724383.2625
2012-02-02,730336.9398
2012-02-03,733278.0814
2012-02-06,733278.0814
2012-02-07,727446.6642
2012-02-08,723881.239
2012-02-09,724497.7099
2012-02-10,722934.8507
2012-02-13,721761.8228
2012-02-14,721715.7638
2012-02-15,721216.9145
2012-02-16,723243.8623
2012-02-17,721517.2436
2012-02-20,718066.8077
2012-02-21,714318.7632
2012-02-22,711777.923
2012-02-23,712383.6326
2012-02-24,711834.5148
2012-02-27,710582.2721
2012-02-28,711274.5331
2012-02-29,711443.5109
2012-03-01,716261.2663
2012-03-02,717155.4359
2012-03-05,714952.4326
2012-03-06,711391.5718
2012-03-07,709366.6349
2012-03-08,711303.9944
2012-03-09,709829.3792
2012-03-12,707874.4755
2012-03-13,708444.7978
2012-03-14,713363.1864
2012-03-15,719919.7531
2012-03-16,723226.2598
2012-03-19,723226.2598
2012-03-20,717962.1513
2012-03-21,714349.5413
2012-03-22,714494.7063
2012-03-23,711631.791
