date,forecast,lower_95,upper_95
2026-09-18,3540317.3492615926,3520055.4701373116,3560695.858293877
2026-09-21,3541123.468536118,3504048.7095497027,3578590.498825771
2026-09-22,3542185.6541983727,3489968.4898644458,3595184.0955721913
2026-09-23,3542122.41741639,3476492.968363425,3608990.8232635125
2026-09-24,3542134.3348493283,3464582.5298198937,3621422.0726820827
2026-09-25,3542762.647192887,3452348.0761394217,3635545.1123516085
2026-09-28,3542978.4261626266,3440066.445344564,3648969.090478279
2026-09-29,3543262.131805999,3428609.6404010956,3661748.5953348954
2026-09-30,3543245.473754743,3417678.632992572,3673425.68902989
2026-10-01,3543248.7636525505,3407523.6440772074,3684379.9522703667
2026-10-02,3543416.3872275827,3397781.639966609,3695293.2894758843
2026-10-05,3543473.960133139,3388350.847965274,3705698.810287521
2026-10-06,3543549.6279316405,3379390.9576039496,3715682.5366300405
2026-10-07,3543545.195433444,3370792.697617023,3725151.226581331
2026-10-08,3543546.0776469884,3362603.1542065395,3734225.606937646
2026-10-09,3543590.775434157,3354733.670042927,3743079.725187654
2026-10-12,3543606.127739607,3347126.6905175126,3751619.089928198
2026-10-13,3543626.303807576,3339805.2396168234,3759886.125119573
2026-10-14,3543625.122394196,3332726.991212989,3767869.0877385363
2026-10-15,3543625.357839607,3325893.4931822573,3775611.186126384
