fold,model,test_start,RMSE,MAE,MAPE
0,SARIMA,2025-10-17,39644.97078918245,27374.566465363976,0.8196462788614788
0,"ETS(A,A,A)",2025-10-17,47879.163006972325,31955.88430122796,0.9560311927025805
1,SARIMA,2025-11-14,22680.500437052327,18781.577869342967,0.5512683412989163
1,"ETS(A,A,A)",2025-11-14,99713.53163527497,88313.50374855008,2.593524728154506
2,SARIMA,2025-12-12,30042.013798611144,26414.798750127502,0.7480234336526612
2,"ETS(A,A,A)",2025-12-12,151479.41434739906,129977.22564510259,3.6806007622834507
3,SARIMA,2026-01-09,27143.004463861515,23255.351617847547,0.6634407097385485
3,"ETS(A,A,A)",2026-01-09,24006.668743563485,20606.963725824073,0.5878635494215898
4,SARIMA,2026-02-06,29254.406793497194,26694.91558281961,0.7723009474654026
4,"ETS(A,A,A)",2026-02-06,14467.162269945511,9256.743981921161,0.26752871902544406
5,SARIMA,2026-03-06,22538.58759403299,18972.26181156782,0.5425627691831435
5,"ETS(A,A,A)",2026-03-06,13027.784634432839,10768.215127396117,0.3080601974013503
6,SARIMA,2026-04-03,53235.5486604224,49611.15220334944,1.4299821518146623
6,"ETS(A,A,A)",2026-04-03,45928.945621080544,42826.98234337226,1.2344183593260445
7,SARIMA,2026-05-01,11713.062065779708,10850.091996026085,0.31026815532259006
7,"ETS(A,A,A)",2026-05-01,167688.17215914524,147500.98533733984,4.20170516309115
8,SARIMA,2026-05-29,13516.345918553508,9963.106951140193,0.2839382386940802
8,"ETS(A,A,A)",2026-05-29,36921.59765518588,29762.44824987282,0.8477563161589168
9,SARIMA,2026-06-26,21320.210290547777,18494.44258727308,0.524868093852793
9,"ETS(A,A,A)",2026-06-26,48775.05069789429,41312.14556797955,1.1722253474496513
10,SARIMA,2026-07-24,12983.782975600376,9512.470837074798,0.2697920071669256
10,"ETS(A,A,A)",2026-07-24,12215.240151463027,8964.194004471832,0.2542450167787572
11,SARIMA,2026-08-21,28488.82663872111,21044.587718147366,0.5968619623417302
11,"ETS(A,A,A)",2026-08-21,53601.20644478163,40941.76651103785,1.1615379814096627
